"talent","attractiveness","fame","is_famous"
0.271,-0.264,0.177,0
-1.437,0.845,-2.305,0
-0.519,-0.76,-3.33,0
-0.359,1.287,1.124,0
-0.645,0.749,1.598,0
-0.906,-0.959,-5.094,0
0.052,0.816,2.335,0
1.057,0.509,2.286,0
-2.666,-1.433,-8.15,0
0.557,0.174,1.24,0
0.926,0.394,3.841,1
0.678,-1.564,-1.845,0
-0.772,0.567,0.338,0
-1.442,-1.944,-7.319,0
1.551,0.176,2.571,0
1.028,-1.672,-1.853,0
-2.177,-2.306,-8.934,0
-1.565,0.251,-2.472,0
-1.057,-0.769,-2.901,0
-1.409,-0.537,-4.545,0
1.983,-1.366,0.814,0
1.417,-0.401,1.415,0
0.361,-0.608,-0.502,0
0.265,0.604,-0.382,0
-0.251,-0.724,-0.686,0
-0.77,-0.536,-3.717,0
0.027,-0.23,-0.069,0
2.271,-0.846,2.557,0
-1.355,-0.86,-5.542,0
1.247,-0.003,1.816,0
1.262,0.128,3.619,1
-0.127,-0.345,1.388,0
0.512,-0.452,-0.072,0
-0.518,0.313,0.4,0
-1.511,0.9,-1.107,0
1.027,0.201,1.54,0
0.419,-0.625,1.714,0
0.709,1.083,3.623,1
1.65,-0.347,3.679,1
-0.251,-2.116,-4.167,0
0.499,0.968,2.817,1
0.425,1.696,5.334,1
0.71,0.031,3.665,1
0.244,2.285,4.157,1
0.149,0.235,1.878,0
-0.937,0.404,-1.754,0
-1.086,-1.704,-5.885,0
1.172,0.392,2.604,0
-0.856,-1.319,-3.49,0
0.228,1.017,1.347,0
-1.03,-0.669,-4.275,0
0.405,-1.907,-3.668,0
2.162,0.981,6.958,1
-1.474,0.477,-3.426,0
0.818,1.057,2.418,0
-0.98,-0.121,-3.36,0
1.374,-0.616,1.354,0
-0.163,-0.057,-1.714,0
-1.62,0.074,-4.647,0
-0.943,1.169,1.474,0
-0.214,-0.376,-1.468,0
0.065,0.114,1.278,0
-0.119,0.339,0.532,0
-1.621,-1.229,-6.237,0
-0.694,-1.594,-4.946,0
-0.334,-2.084,-6.683,0
1.005,1.545,3.683,1
-2.004,-0.374,-3.02,0
-0.896,1.499,-0.477,0
-1.447,-0.189,-1.351,0
1.563,1.645,5.756,1
-0.917,0.871,2.036,0
2.491,0.075,5.785,1
1.046,0.434,3.114,1
1.887,1.264,4.286,1
-1.653,0.686,-2.167,0
-0.193,-1.198,-1.459,0
2.393,-0.517,4.968,1
0.577,1.423,4.44,1
-0.515,-0.987,-3.188,0
-0.661,-0.074,0.839,0
0.62,-0.469,2.184,0
-1.584,-0.816,-5.084,0
0.915,-0.03,1.014,0
-1.594,-1.421,-4.315,0
-0.639,-1.011,-3.877,0
-0.336,-0.741,-1.998,0
0.271,0.709,1.849,0
1.074,-0.454,1.388,0
1.006,1.363,6.209,1
-0.314,-0.276,-1.154,0
-1.634,0.662,-0.907,0
1.786,-0.075,2.467,0
-1.554,0.858,0.184,0
1.09,-0.058,1.001,0
-0.49,1.374,3.679,1
-0.236,0.849,3.912,1
2.221,0.949,6.771,1
0.13,2.347,5.019,1
0.452,1.115,2.942,1
1.651,2.219,8.127,1
-0.611,-1.44,-4.399,0
-0.151,-1.214,-2.207,0
1.063,-0.706,0.346,0
0.449,1.203,4.174,1
-0.829,2.198,4.165,1
-0.673,0.871,0.194,0
-0.708,1.399,-0.605,0
0.581,-0.124,0.233,0
-0.341,-0.852,-3.325,0
1.115,-1.571,-0.895,0
0.671,1.768,4.399,1
-0.999,0.153,-0.806,0
0.378,-0.342,0.273,0
-0.224,0.022,-0.334,0
-0.2,1.036,2.453,0
0.054,0.11,-0.678,0
0.753,-0.741,-0.148,0
0.25,-0.511,-1.557,0
-0.444,-0.912,-2.707,0
-0.05,-1.293,-4.551,0
-0.468,0.905,-0.087,0
-2.631,0.567,-4.373,0
0.246,1.956,5.224,1
-0.665,1.403,4.099,1
-1.983,-0.251,-4.699,0
1.766,-0.716,1.691,0
0.796,1.313,2.75,1
-0.422,-0.578,-1.933,0
-1.302,0.884,0.342,0
-1.941,0.214,-2.432,0
1.727,-1.491,0.176,0
1.02,-0.219,1.863,0
0.254,1.217,2.522,0
0.672,2.234,5.081,1
-0.532,0.504,-1.96,0
0.284,-0.476,-1.487,0
0.05,0.603,1.473,0
-0.292,0.455,0.155,0
0.767,1.298,4.03,1
-0.838,2.095,2.537,0
-0.151,-0.68,-1.833,0
-0.52,0.159,-1.103,0
-1.875,0.334,-3.624,0
0.388,-0.795,-0.178,0
1.598,-0.817,0.704,0
0.985,0.495,3.929,1
1.23,-1.002,-0.46,0
-0.716,-1.817,-4.072,0
-0.128,-1.271,-4.205,0
0.758,0.228,2.301,0
-0.383,1.52,2.006,0
0.431,-0.113,0.865,0
-2.051,0.3,-2.365,0
-0.306,0.478,0.723,0
0.404,1.346,2.894,1
2.427,-0.361,5.187,1
-0.365,-0.995,-2.844,0
0.478,-1.635,-2.197,0
0.835,-0.461,0.057,0
-2.229,-0.714,-5.104,0
-0.673,0.385,0.561,0
1.329,0.799,3.827,1
-0.683,0.84,1.387,0
0.395,-0.118,0.864,0
0.47,-0.605,-1.56,0
-0.689,-2.288,-5.398,0
1.354,0.57,4.701,1
0.04,-0.205,0.564,0
-1.243,0.516,-0.305,0
-1.028,-0.764,-3.962,0
1.316,1.223,4.508,1
0.664,0.64,2.278,0
0.954,0.941,4.518,1
-0.066,-3.117,-7.449,0
1.692,1.335,6.139,1
0.451,0.538,2.153,0
0.226,0.102,0.353,0
1.115,-0.149,1.969,0
-0.719,1.036,1.718,0
0.214,0.597,2.537,0
1.024,2.471,7.245,1
1.64,-0.943,-1.781,0
1.33,0.041,3.048,1
-0.831,-0.902,-2.665,0
-0.676,0.136,-1.584,0
-0.377,-0.682,-2.462,0
-0.073,-0.603,-1.211,0
-0.224,1.602,4.16,1
1.064,-0.521,3.26,1
0.301,-0.122,2.123,0
0.202,0.003,0.045,0
-1.058,0.111,-1.86,0
-0.076,-1.612,-2.138,0
-0.598,0.713,-0.632,0
-1.723,-0.193,-4.618,0
0.36,-2.597,-3.34,0
-0.522,-0.038,-0.631,0
2.063,0.922,6.067,1
-0.501,1.435,3.314,1
0.468,1.142,2.694,1
1.47,0.049,3.246,1
0.625,0.559,2.598,0
-0.748,-1.076,-3.615,0
-1.607,-0.867,-4.617,0
0.746,-1.727,-2.967,0
-0.785,0.271,-0.122,0
-0.494,0.335,-1.924,0
0.004,0.422,1.675,0
-0.171,-0.9,-1.25,0
1.123,-1.31,-1.161,0
-0.946,-0.652,-3.261,0
0.258,0.938,2.12,0
1.046,0.028,4.118,1
0.457,-0.415,-0.211,0
-0.282,-1.048,-2.739,0
-0.496,0.152,-1.85,0
-0.173,0.038,-0.326,0
-0.855,-0.016,-0.95,0
2.368,1.287,7.191,1
-0.601,-0.081,-2.341,0
-0.373,0.117,0.536,0
0.123,-1.274,-2.623,0
-2.152,0.012,-3.305,0
0.374,0.259,2.636,1
1.134,1.208,4.515,1
2.458,-0.802,4.536,1
-1.696,-0.275,-4.625,0
1.024,2.645,7.789,1
0.152,-0.843,-0.264,0
1.651,-0.485,3.139,1
-0.125,-0.398,-1.547,0
1.67,0.075,3.131,1
-2.645,-0.336,-5.264,0
-0.929,0.478,-1.593,0
1.027,-0.533,0.503,0
0.994,0.948,4.998,1
-0.391,0.229,0.249,0
-0.24,-1.287,-3.154,0
-0.111,-0.895,-1.625,0
1.639,-0.035,4.392,1
-1.33,-1.133,-5.134,0
-0.066,0.197,1.896,0
-0.205,-0.199,-0.994,0
1.669,0.699,4.832,1
0.139,2.119,4.238,1
0.043,1.631,5.217,1
-0.577,1.212,0.183,0
-1.639,-0.517,-4.549,0
0.06,0.337,0.523,0
-0.65,1.237,1.097,0
-1.617,-1.422,-7.964,0
-0.056,0.907,2.329,0
-0.44,-0.892,-3.785,0
-0.022,-0.232,-1.242,0
0.254,1.126,2.162,0
0.377,-0.789,-1.69,0
-0.324,-0.202,-2.147,0
1.061,-1.58,-1.188,0
2.312,-0.11,3.826,1
-0.797,1.484,2.469,0
0.115,-0.779,-3.223,0
1.343,-0.87,1.595,0
1.149,-0.528,2.458,0
0.851,0.65,4.038,1
-1.354,-0.611,-4.08,0
-0.146,-1.322,-2.833,0
-0.768,-0.144,-1.645,0
-2.243,0.048,-3.506,0
-2.3,0.106,-4.011,0
1.118,0.851,3.027,1
1.601,0.828,6.712,1
-0.39,-0.327,-1.563,0
-2.004,-0.366,-6.032,0
1.391,-0.526,0.617,0
-0.999,-0.066,-1.443,0
0.15,0.981,1.465,0
1.026,0.251,2.902,1
-0.123,0.005,1.961,0
1.581,0.232,1.188,0
-0.882,1.172,0.388,0
-1.262,-0.442,-3.083,0
0.668,1.104,2.837,1
-0.902,-0.407,-4.916,0
0.669,0.99,2.428,0
-0.181,0.172,-0.738,0
0.38,0.375,1.329,0
-2.14,0.103,-4.52,0
0.49,-1.673,-3.229,0
-0.886,-1.525,-4.159,0
-1.33,-1.639,-8.158,0
0.31,-0.141,0.813,0
0.535,0.249,1.097,0
0.485,-1.5,-2.123,0
-0.595,0.185,-0.433,0
-0.077,-0.635,-1.612,0
0.732,0.369,1.883,0
-0.696,0.045,-1.119,0
1.903,-1.02,2.154,0
0.6,-1.041,-1.029,0
0.696,-1.03,-1.047,0
-0.845,0.092,-0.864,0
-1.987,-0.786,-7.451,0
0.14,0.327,-0.283,0
0.295,0.472,1.004,0
1.041,-0.52,2.105,0
0.526,0.293,2.193,0
0.031,-0.067,-0.191,0
-0.42,-1.961,-2.981,0
-0.468,0.748,0.758,0
0.561,2.421,6.046,1
-0.805,-0.21,-1.129,0
0.183,-0.038,-0.195,0
1.106,1.361,4.696,1
-0.947,0.161,-2.537,0
0.342,-0.814,0.066,0
1.078,1.665,6.845,1
-1.9,0.908,-2.286,0
-1.129,1.517,0.338,0
1.745,1.936,7.677,1
1.664,0.85,6.079,1
0.56,1.204,2.361,0
-0.092,1.009,1.412,0
1.49,1.844,7.227,1
0.191,0.368,0.069,0
-0.289,0.739,-0.191,0
-0.319,-1.456,-4.281,0
-0.137,0.871,1.47,0
1.962,1.281,6.063,1
-0.628,-2.402,-6.122,0
1.104,-0.113,2,0
0.981,1.57,4.884,1
-1.827,-0.402,-5.507,0
0.604,-1.761,-3.16,0
1.495,0.564,3.873,1
0.186,1.016,2.676,1
0.641,-0.118,-0.563,0
-2.048,-1.163,-6.937,0
-0.071,-0.466,-0.672,0
0.593,-0.572,0.078,0
-0.083,-0.155,-0.715,0
-0.474,-0.322,-1.417,0
-1.544,1.061,-2.095,0
0.197,0.029,1.619,0
0.888,0.487,3.312,1
-0.143,-0.838,-1.584,0
1.441,1.788,6.515,1
-0.698,0.478,-0.837,0
-0.08,0.285,-0.345,0
-1.515,-0.213,-3.12,0
0.042,1.415,2.668,1
0.256,1.242,4.756,1
-0.148,0.484,2.583,0
-1.008,-0.395,-2.138,0
-0.234,0.298,1.27,0
-0.451,-0.66,-1.844,0
-0.785,-1.445,-5.563,0
0.063,-0.804,-2.253,0
-0.399,2.167,1.838,0
-0.99,0.354,-1.457,0
1.014,1.051,2.944,1
-0.233,-0.471,-0.563,0
0.676,0.372,2.907,1
-0.643,1.451,1.663,0
-0.627,-1.13,-5.776,0
-1.509,0.054,-2.894,0
0.625,0.876,3.593,1
0.688,-0.895,1.106,0
-0.886,1.41,2.734,1
1.963,0.19,4.912,1
-1.148,0.28,-1.235,0
-0.512,-1.623,-5.028,0
0.837,-0.677,0.006,0
-0.4,0.144,0.413,0
-0.631,-1,-1.054,0
2.295,0.568,4.688,1
1.43,0.925,5.14,1
1.446,-1.569,-0.414,0
2.658,-0.32,5.067,1
0.857,-0.248,2.506,0
0.952,0.593,2.313,0
-1.505,-0.224,-3.562,0
-0.936,0.291,-2.245,0
0.159,-1.175,-1.32,0
-1.307,1.192,1.22,0
-0.867,-1.021,-3.69,0
-1.528,0.021,-3.049,0
0.351,-0.537,-0.038,0
0.86,-0.332,2.699,1
-2.295,-0.469,-4.619,0
0.59,0.287,1.419,0
1.657,-0.017,2.68,1
0.412,-0.015,0.053,0
0.162,-0.756,-0.155,0
-1.222,-0.288,-2.854,0
-0.758,-1.471,-3.714,0
-0.654,1.79,2.37,0
-0.212,-0.663,-0.776,0
-0.04,-0.29,-0.974,0
-0.592,-0.098,-0.521,0
0.543,-0.362,0.213,0
-0.633,1.662,1.217,0
0.069,1.287,2.761,1
-0.014,-1.472,-2.244,0
-1.67,-0.446,-3.807,0
0.362,0.15,0.703,0
0.243,0.535,1.641,0
-1.297,0.138,-0.764,0
0.102,1.114,2.25,0
1.129,0.656,2.519,0
0.912,1.008,3.969,1
0.925,0.241,1.663,0
-0.002,1.49,5.217,1
0.148,-0.073,1.189,0
1.954,-0.011,4.858,1
-0.62,-0.388,-2.873,0
-0.809,-0.676,-1.719,0
0.529,1.129,1.716,0
0.492,-0.824,-0.996,0
-0.301,-0.239,-2.717,0
-1.127,-0.061,-3.467,0
-0.136,0.341,1.244,0
1.578,-0.892,1.097,0
1.059,1.119,2.754,1
0.235,-0.057,0.282,0
-0.475,0.711,0.448,0
-1.04,-1.206,-4.513,0
0,-0.397,-3.032,0
0.051,0.686,1.866,0
0.651,0.938,2.239,0
1.403,-0.197,3.243,1
0.634,0.08,0.598,0
0.446,1.081,3.3,1
0.84,0.333,2.053,0
-1.316,-0.117,-2.92,0
2.602,1.801,9.483,1
-0.938,0.533,-0.931,0
-0.581,0.656,2.778,1
1.523,-0.481,3.311,1
-0.813,0.048,-0.667,0
-1.995,-1.065,-5.851,0
-0.391,1.023,0.15,0
0.236,-0.848,-1.705,0
1.012,-0.582,1.992,0
-1.567,1.805,0.825,0
0.237,-1.174,0.1,0
1.022,0.597,3.918,1
-0.407,0.286,0.345,0
-0.132,-1.999,-4.066,0
-0.343,0.118,-0.768,0
-0.726,-0.188,-2.564,0
-1.166,-0.272,-2.81,0
0.086,0.075,0.332,0
0.577,-0.631,-0.259,0
-0.333,0.305,1.085,0
1.083,-0.537,0.665,0
0.127,0.027,-0.234,0
-0.966,0.1,-2.767,0
1.627,0.679,4.733,1
-1.079,-0.753,-4.392,0
0.175,-1.853,-2.446,0
-0.916,-2.844,-7.027,0
0.33,-0.638,-1.356,0
-0.32,0.106,-1.821,0
-0.982,-0.469,-3.68,0
-0.582,-0.616,-1.418,0
2.329,-2.027,0.022,0
0.379,-1.673,-0.671,0
-0.92,-0.727,-3.416,0
-0.422,-1.172,-1.535,0
-0.675,-1.664,-5.165,0
-0.459,-0.723,-3.508,0
-1.036,1.467,0.923,0
0.755,0.246,1.351,0
0.695,-0.498,-1.138,0
0.867,-1.431,-1.408,0
2.693,-0.167,4.647,1
-0.628,0.133,0.606,0
-1.493,-1.66,-6.931,0
0.825,0.433,3.623,1
0.688,-1.223,-2.026,0
0.092,1.041,3.414,1
-0.106,1.641,4.371,1
-0.792,1.279,1.887,0
0.022,-1.127,-1.044,0
-0.379,0.248,-3.817,0
2.601,1.125,8.287,1
1.077,0.897,4.243,1
0.561,-1.285,-0.856,0
0.935,-1.666,-2.704,0
-1.596,-1.401,-6.654,0
-0.466,-0.249,-0.743,0
1.074,-1.188,-0.998,0
0.23,0.092,0.151,0
-0.837,1.165,-0.695,0
1.337,-1.072,-1.612,0
-0.885,-1.539,-2.795,0
2.274,1.67,6.957,1
-0.112,-1.38,-2.039,0
-3.224,-0.736,-8.179,0
0.361,0.517,0.798,0
-0.39,-0.487,-1.639,0
-0.164,-1.494,-1.062,0
0.606,0.699,2.646,1
0.787,0.142,1.723,0
1.646,0.216,3.15,1
-0.041,-0.225,0.718,0
-2.259,-1.228,-6.839,0
2.07,-0.193,4.73,1
-0.662,-1.283,-1.931,0
-0.31,0.972,0.509,0
-1.254,-2.2,-6.126,0
1.234,1.758,6.073,1
-0.271,-0.041,0.573,0
-1.078,1.387,-0.086,0
-0.954,-0.381,-3.746,0
0.918,-0.38,0.684,0
0.137,-0.086,0.69,0
0.493,0.86,3.371,1
0.031,0.782,-0.154,0
0.36,-0.984,-1.127,0
0.05,0.049,0.873,0
-2.353,1.154,-2.117,0
-0.609,-0.251,-1.635,0
0.161,1.426,3.629,1
0.695,-0.435,-0.102,0
0.822,0.07,1.727,0
0.032,0.317,0.866,0
-0.684,-1.047,-1.847,0
2.176,1.053,7.691,1
-0.218,0.012,-0.21,0
0.449,0.892,2.542,0
-0.239,0.009,-0.386,0
0.87,1.294,4.445,1
0.876,0.311,2.685,1
-1.099,-0.643,-5.773,0
0.046,-0.211,0.154,0
0.217,0.441,0.401,0
-0.738,-2.134,-4.469,0
-0.352,0.908,1.668,0
-0.777,1.359,0.262,0
-0.996,0.423,-3.104,0
-0.042,2.199,1.837,0
1.165,0.396,3.56,1
-0.849,2.408,2.673,1
-0.801,0.027,-0.73,0
2.232,-1.08,1.32,0
-0.734,0.445,-0.34,0
0.267,-0.013,-1.666,0
-1.149,-0.809,-2.79,0
0.973,1.046,3.865,1
0.358,-0.604,-0.983,0
0.75,-1.523,-1.078,0
-0.273,-1.489,-3.472,0
-2.593,0.501,-5.262,0
0.551,0.52,2.915,1
1.589,2.955,8.222,1
-0.251,1.515,1.851,0
0.735,-0.136,1.864,0
-1.037,1.086,0.113,0
0.87,0.283,0.271,0
-0.753,-0.007,-0.475,0
-0.535,-1.351,-4.504,0
-0.65,0.292,-0.864,0
0.367,0.541,0.817,0
0.036,0.079,-0.106,0
-0.19,1.641,3.18,1
-1.451,0.966,-1.649,0
-0.285,1.136,2.054,0
0.339,0.224,0.76,0
1.408,0.277,2.929,1
1.061,-2.272,-3.212,0
0.504,0.539,2.265,0
0.458,-0.295,0.516,0
-0.17,0.297,-0.293,0
-0.875,0.021,-0.876,0
0.316,0.408,1.265,0
-0.82,-0.675,-3.065,0
-0.128,0.666,1.043,0
1.773,0.129,3.104,1
-1.22,-0.942,-4.722,0
-0.795,0.416,-0.742,0
0.495,1.079,4.001,1
0.812,-0.737,0.92,0
-1.144,1.932,1.786,0
0.768,0.13,0.969,0
0.329,-0.377,-0.578,0
0.642,-0.099,2.075,0
0.524,-1.143,-1.734,0
0.992,0.627,3.886,1
-0.846,-1.703,-6.228,0
1.456,-1.153,0.302,0
0.659,-0.603,-0.064,0
0.868,-0.466,0.651,0
0.842,0,2.949,1
0.089,-0.782,-0.688,0
-0.272,-0.74,-1.981,0
0.93,-0.054,2.895,1
-0.509,1.769,4.064,1
0.021,0.64,3.384,1
0.46,-1.467,-1.205,0
-0.44,1.573,1.854,0
1.949,-1.32,2.068,0
-0.395,-1.373,-1.776,0
1.63,-0.016,3.342,1
0.507,1.605,3.787,1
-0.022,0.401,2.493,0
-1.667,0.736,0.312,0
-1.334,0.123,-2.162,0
0.918,-0.027,1.287,0
0.239,-0.083,-1.919,0
-2.469,-2.985,-11.264,0
-0.323,0.123,1.794,0
-0.481,1.783,3.095,1
-1.228,-1.213,-5.198,0
0.144,2.125,3.186,1
-0.409,1.528,1.972,0
-0.929,1.268,-0.295,0
1.535,0.192,5.582,1
0.224,-0.07,1.335,0
-2.07,-1.469,-6.287,0
1.026,0.048,1.331,0
-0.349,-0.154,-0.032,0
0.797,-0.81,-1.574,0
0.36,-0.433,-1.052,0
-0.702,-0.291,-1.238,0
0.908,0.938,4.184,1
-0.169,-1.203,-4.323,0
-1.055,-0.087,-2.709,0
-0.413,0.251,-0.057,0
-0.141,-0.709,-2.137,0
0.151,0.554,1.343,0
-0.991,1.783,2.47,0
0.749,0.128,2.467,0
-0.005,-0.557,-1.862,0
-0.15,0.257,0.064,0
-1.539,0.288,-2.523,0
-0.151,1.197,2.158,0
0.308,-0.341,0.865,0
-0.574,-0.003,-0.696,0
-1.426,-0.174,-3.41,0
0.722,-1.107,-1.636,0
-0.323,0.83,1.335,0
-0.35,-0.249,-2.887,0
-0.03,0.414,1.807,0
-0.643,-1.009,-1.39,0
1.084,-0.026,3.334,1
-0.893,0.613,-1.78,0
-0.015,1.17,2.139,0
-1.79,-1.038,-6.137,0
-1.86,-0.085,-3.841,0
0.8,-1.37,-0.963,0
1.14,-1.754,-0.689,0
0.878,-0.713,1.991,0
0.616,-0.942,0.908,0
-1.1,0.642,-1.003,0
0.764,0.791,3.829,1
-1.123,0.809,1.059,0
1.704,0.019,4.964,1
1.581,0.304,2.13,0
0.354,-0.087,0.184,0
0.704,0.173,1.98,0
-0.338,0.133,1.173,0
1.187,-0.869,-0.294,0
-0.476,0.155,-0.646,0
-1.548,2.405,-0.089,0
-0.473,-0.692,-0.14,0
0.674,-0.884,1.01,0
0.756,-0.281,0.298,0
-1.057,-0.03,-3.222,0
1.313,-1.758,-0.026,0
0.098,0.055,0.699,0
-0.155,-0.933,-0.409,0
1.277,0.92,3.834,1
2.295,1.289,7.938,1
0.601,-0.153,1.151,0
-1.669,-1.146,-3.884,0
0.762,-0.652,-0.649,0
-0.618,-1.577,-4.727,0
0.206,0.994,2.087,0
-1.145,-1.882,-5.823,0
0.607,0.203,1.604,0
1.001,1.163,3.245,1
0.237,-0.331,0.113,0
1.822,-1.254,0.686,0
-1.753,-2.038,-6.213,0
0.167,-0.845,-2.538,0
-0.398,-1.346,-2.297,0
2.086,0.504,5.082,1
-0.062,1.732,3.538,1
0.364,-1.196,-1.436,0
-0.209,0.378,1.619,0
-1.604,-1.547,-6.079,0
0.556,0.243,2.41,0
-0.686,2.062,3.5,1
-0.469,-1.152,-2.28,0
2.039,0.451,4.54,1
-0.808,0.318,0.408,0
0.355,-1.568,-1.933,0
-0.125,1.486,2.044,0
0.059,0.729,2.795,1
1.848,-0.786,2.587,0
-0.199,-0.862,-1.528,0
-0.136,-0.323,0.268,0
1.762,-0.176,1.765,0
1.212,-0.121,2.589,0
0.293,0.105,1.885,0
0.377,0.538,2.694,1
0.702,-0.388,0.956,0
0.785,0.519,3.848,1
1.383,-1.185,-0.573,0
-0.423,-0.007,-1.278,0
0.063,0.09,-0.265,0
-1.43,1.532,1.88,0
1.299,0.557,4.091,1
0.509,-1.674,-2.678,0
-2.661,0.21,-4.408,0
0.776,0.825,1.664,0
0.934,0.104,3.863,1
0.506,-0.108,1.378,0
1.053,-1.119,1.876,0
0.269,0.37,0.402,0
-0.253,0.072,0.362,0
-0.55,2.502,3.924,1
-1.657,0.432,-1.611,0
0.216,-0.176,0.763,0
-0.883,1.606,1.362,0
-0.282,-0.537,-0.045,0
-1.092,-0.948,-5.168,0
1.863,0.67,4.584,1
-1.244,-0.394,-2.189,0
1.744,2.632,8.711,1
0.107,-1.306,-3.225,0
0.918,0.293,3.069,1
-0.622,0.342,0.876,0
-0.07,-0.308,-0.246,0
-0.563,-0.136,0.285,0
-1.857,1.014,-1.541,0
1.112,1.022,3.473,1
1.885,0.806,5.379,1
-1.088,-0.986,-3.356,0
0.286,-0.599,-0.654,0
-0.73,0.325,0.06,0
-0.307,-0.923,-2.273,0
-0.385,-0.079,-1.953,0
0.329,0,-0.069,0
0.071,-1.577,-2.828,0
0.163,0.269,2.221,0
-0.157,0.265,0.158,0
0.536,-1.081,-2.324,0
0.051,-0.561,1.097,0
0.283,-0.656,-1.133,0
2.293,-0.02,4.454,1
-0.153,1.995,4.016,1
-0.367,-1.545,-4.244,0
-0.14,0.544,0.339,0
-1.036,1.941,0.328,0
1.368,-1.099,0.663,0
-0.014,0.959,1.858,0
0.448,1.348,3.848,1
-0.036,1.718,4.454,1
-0.355,0.387,-0.758,0
-0.473,-1.438,-3.817,0
-0.546,0.102,-1.318,0
2.012,0.619,5.274,1
-1.016,-0.777,-4.202,0
0.914,0.59,3.12,1
-0.136,0.601,0.749,0
-1.451,0.659,0.424,0
